Symbol,Entry,Exit,Entry_Price,Exit_Price,Type,PnL,PnL_%,Reason
AMBP3<XBSP>,2023-08-15,2023-08-16,2.393,2.3,long,-507213.73872799985,-3.982352791379117,Stop Loss
ARML3<XBSP>,2023-08-07,2023-08-17,12.89112837,12.18352245,long,-887123.518758338,-5.583508676974739,Stop Loss
CPLE3<XBSP>,2023-08-10,2023-08-17,7.294851148,7.225210564,long,-133885.66004934348,-1.0536003410090133,Below VWAP
ZAMP3<XBSP>,2023-08-17,2023-08-18,3.60293435,4.168684372,short,-1828827.2701185048,-14.55691023920352,Stop Loss (Short)
CSMG3<XBSP>,2023-08-01,2023-08-21,14.30400575,14.73629087,short,-324870.79835799895,-2.002105249433356,Stop Loss (Short)
GGPS3<XBSP>,2023-08-17,2023-08-21,16.46919717,17.0930304,short,-434562.9676019419,-2.7602760508302535,Stop Loss (Short)
ANIM3<XBSP>,2023-08-14,2023-08-22,3.357570262,3.46977698,short,-296851.9767063912,-2.318715154120803,Stop Loss (Short)
ZAMP3<XBSP>,2023-08-18,2023-08-22,4.168684372,5.002421247,long,2475341.8874693643,19.88011989449853,Take Profit
AXIA6<XBSP>,2023-08-16,2023-08-23,32.99925947,34.92239512,short,-609383.5912244711,-4.7800144215877705,Stop Loss (Short)
ZAMP3<XBSP>,2023-08-22,2023-08-23,5.002421247,5.707127414,long,2234659.945997512,13.973328244421419,Take Profit
PCAR3<XBSP>,2023-08-22,2023-08-23,8.138450001,6.56,short,2606044.736159265,20.193040392796853,Take Profit (Short)
PCAR3<XBSP>,2023-08-23,2023-08-25,6.56,5.9,short,2098597.7343999967,10.951460999758496,Take Profit (Short)
ITUB3<XBSP>,2023-08-21,2023-08-28,17.48463765,17.93819505,short,-260506.73428907618,-1.5782512279620728,Above VWAP (Short)
ZAMP3<XBSP>,2023-08-23,2023-08-28,5.707127414,5.240631782,long,-1252707.6448549218,-8.265647394316527,Stop Loss
SMTO3<XBSP>,2023-08-23,2023-08-28,32.38729374,34.45337972,long,760381.6355044376,6.27303730762643,Take Profit
GGPS3<XBSP>,2023-08-21,2023-09-01,17.0930304,18.11995586,long,770467.8094821945,5.901958765568025,Take Profit
